x        y        hdg      vel      acc      steer    lat_err  lng_err  hdg_err  
70.80    0.000    0.000    3.000    2.000    -0.000   0.000    29.50    0.000    
71.10    0.000    0.000    3.000    2.000    -0.000   0.000    29.20    0.000    
71.40    0.000    0.000    3.000    2.000    -0.000   0.000    28.90    0.000    
71.70    0.000    0.000    3.000    2.000    -0.000   0.000    28.60    0.000    
72.00    0.000    0.000    3.000    2.000    -0.000   0.000    28.30    0.000    
72.30    0.000    0.000    3.000    2.000    -0.000   0.000    28.00    0.000    
72.60    0.000    0.000    3.000    2.000    -0.000   0.000    27.70    0.000    
72.90    0.000    0.000    3.000    2.000    -0.000   0.000    27.40    0.000    
73.20    0.000    0.000    3.000    2.000    -0.000   0.000    27.10    0.000    
73.50    0.000    0.000    3.000    2.000    -0.000   0.000    26.80    0.000    
73.80    0.000    0.000    3.000    2.000    -0.000   0.000    26.50    0.000    
74.10    0.000    0.000    3.000    2.000    -0.000   0.000    26.20    0.000    
74.40    0.000    0.000    3.000    2.000    -0.000   0.000    25.90    0.000    
74.70    0.000    0.000    3.000    2.000    -0.000   0.000    25.60    0.000    
75.00    0.000    0.000    3.000    2.000    -0.000   0.000    25.30    0.000    
75.30    0.000    0.000    3.000    2.000    -0.000   0.000    25.00    0.000    
75.60    0.000    0.000    3.000    2.000    -0.000   0.000    24.70    0.000    
75.90    0.000    0.000    3.000    2.000    -0.000   0.000    24.40    0.000    
76.20    0.000    0.000    3.000    2.000    -0.000   0.000    24.10    0.000    
76.50    0.000    0.000    3.000    2.000    -0.000   0.000    23.80    0.000    
76.80    0.000    0.000    3.000    2.000    -0.000   0.000    23.50    0.000    
77.10    0.000    0.000    3.000    2.000    -0.000   0.000    23.20    0.000    
77.40    0.000    0.000    3.000    2.000    -0.000   0.000    22.90    0.000    
77.70    0.000    0.000    3.000    2.000    -0.000   0.000    22.60    0.000    
78.00    0.000    0.000    3.000    2.000    -0.000   0.000    22.30    0.000    
78.30    0.000    0.000    3.000    2.000    -0.000   0.000    22.00    0.000    
78.60    0.000    0.000    3.000    2.000    -0.000   0.000    21.70    0.000    
78.90    0.000    0.000    3.000    2.000    -0.000   0.000    21.40    0.000    
79.20    0.000    0.000    3.000    2.000    -0.000   0.000    21.10    0.000    
79.50    0.000    0.000    3.000    2.000    -0.000   0.000    20.80    0.000    
79.80    0.000    0.000    3.000    2.000    -0.000   0.000    20.50    0.000    
80.10    0.000    0.000    3.000    2.000    -0.000   0.000    20.20    0.000    
80.40    0.000    0.000    3.000    2.000    -0.000   0.000    19.90    0.000    
80.70    0.000    0.000    3.000    2.000    -0.000   0.000    19.60    0.000    
81.00    0.000    0.000    3.000    2.000    -0.000   0.000    19.30    0.000    
81.30    0.000    0.000    3.000    2.000    -0.000   0.000    19.00    0.000    
81.60    0.000    0.000    3.000    2.000    -0.000   0.000    18.70    0.000    
81.90    0.000    0.000    3.000    2.000    -0.000   0.000    18.40    0.000    
82.20    0.000    0.000    3.000    2.000    -0.000   0.000    18.10    0.000    
82.50    0.000    0.000    3.000    2.000    -0.000   0.000    17.80    0.000    
82.80    0.000    0.000    3.000    2.000    -0.000   0.000    17.50    0.000    
83.10    0.000    0.000    3.000    2.000    -0.000   0.000    17.20    0.000    
83.40    0.000    0.000    3.000    2.000    -0.000   0.000    16.90    0.000    
83.70    0.000    0.000    3.000    2.000    -0.000   0.000    16.60    0.000    
84.00    0.000    0.000    3.000    2.000    -0.000   0.000    16.30    0.000    
84.30    0.000    0.000    3.000    2.000    -0.000   0.000    16.00    0.000    
84.60    0.000    0.000    3.000    2.000    -0.000   0.000    15.70    0.000    
84.90    0.000    0.000    3.000    2.000    -0.000   0.000    15.40    0.000    
85.20    0.000    0.000    3.000    2.000    -0.000   0.000    15.10    0.000    
85.50    0.000    0.000    3.000    2.000    -0.000   0.000    14.80    0.000    
85.80    0.000    0.000    3.000    2.000    -0.000   0.000    14.50    0.000    
86.10    0.000    0.000    3.000    2.000    -0.000   0.000    14.20    0.000    
86.40    0.000    0.000    3.000    2.000    -0.000   0.000    13.90    0.000    
86.70    0.000    0.000    3.000    2.000    -0.000   0.000    13.60    0.000    
87.00    0.000    0.000    3.000    2.000    -0.000   0.000    13.30    0.000    
87.30    0.000    0.000    3.000    2.000    -0.000   0.000    13.00    0.000    
87.60    0.000    0.000    3.000    2.000    -0.000   0.000    12.70    0.000    
87.90    0.000    0.000    3.000    2.000    -0.000   0.000    12.40    0.000    
88.20    0.000    0.000    3.000    2.000    -0.000   0.000    12.10    0.000    
88.50    0.000    0.000    3.000    2.000    -0.000   0.000    11.80    0.000    
88.80    0.000    0.000    3.000    2.000    -0.000   0.000    11.50    0.000    
89.10    0.000    0.000    3.000    2.000    -0.000   0.000    11.20    0.000    
89.40    0.000    0.000    3.000    2.000    -0.000   0.000    10.90    0.000    
89.70    0.000    0.000    3.000    2.000    -0.000   0.000    10.60    0.000    
90.00    0.000    0.000    3.000    2.000    -0.000   0.000    10.30    0.000    
90.30    0.000    0.000    3.000    2.000    -0.000   0.000    10.00    0.000    
90.60    0.000    0.000    3.000    2.000    -0.000   0.000    9.700    0.000    
90.90    0.000    0.000    3.000    2.000    -0.000   0.000    9.400    0.000    
91.20    0.000    0.000    3.000    2.000    -0.000   0.000    9.100    0.000    
91.50    0.000    0.000    3.000    2.000    -0.000   0.000    8.800    0.000    
91.80    0.000    0.000    3.000    2.000    -0.000   0.000    8.500    0.000    
92.10    0.000    0.000    3.000    2.000    -0.000   0.000    8.200    0.000    
92.40    0.000    0.000    3.000    2.000    -0.000   0.000    7.900    0.000    
92.70    0.000    0.000    3.000    2.000    -0.000   0.000    7.600    0.000    
93.00    0.000    0.000    3.000    2.000    -0.000   0.000    7.300    0.000    
93.30    0.000    0.000    3.000    2.000    -0.000   0.000    7.000    0.000    
93.60    0.000    0.000    3.000    2.000    -0.000   0.000    6.700    0.000    
93.90    0.000    0.000    3.000    2.000    -0.000   0.000    6.400    0.000    
94.20    0.000    0.000    3.000    2.000    -0.000   0.000    6.100    0.000    
94.50    0.000    0.000    3.000    2.000    -0.000   0.000    5.800    0.000    
94.80    0.000    0.000    3.000    2.000    -0.000   0.000    5.500    0.000    
95.10    0.000    0.000    3.000    2.000    -0.000   0.000    5.200    0.000    
95.40    0.000    0.000    3.000    2.000    -0.000   0.000    4.900    0.000    
95.70    0.000    0.000    3.000    2.000    -0.000   0.000    4.600    0.000    
96.00    0.000    0.000    3.000    2.000    -0.000   0.000    4.300    0.000    
96.30    0.000    0.000    3.000    2.000    -0.000   0.000    4.000    0.000    
96.60    0.000    0.000    3.000    2.000    -0.000   0.000    3.700    0.000    
96.90    0.000    0.000    3.000    2.000    -0.000   0.000    3.400    0.000    
97.20    0.000    0.000    3.000    2.000    -0.000   0.000    3.100    0.000    
97.50    0.000    0.000    3.000    2.000    -0.000   0.000    2.800    0.000    
97.80    0.000    0.000    3.000    2.000    -0.000   0.000    2.500    0.000    
98.10    0.000    0.000    3.000    2.000    -0.000   0.000    2.200    0.000    
98.40    0.000    0.000    3.000    2.000    -0.000   0.000    1.900    0.000    
98.70    0.000    0.000    3.000    2.000    -0.000   0.000    1.600    0.000    
99.00    0.000    0.000    3.000    2.000    -0.000   0.000    1.300    0.000    
99.30    0.000    0.000    3.000    2.000    -0.000   0.000    1.000    0.000    
